Term,RawFrequency
campania,696
puglia,667
veneto,661
sicilia,581
lombardia,573
venezia,476
giulia,476
friuli,476
lazio,375
romagna,289
emilia,289
calabria,285
piemonte,267
toscana,254
abruzzo,181
marche,136
sardegna,116
basilicata,110
none,88
molise,86
liguria,75
umbria,62
provenza,41
canton,9
trentino,7
san,7
val,5
paulo,5
d'aosta,5
argentina,5
tunisia,4
ticino,4
egitto,4
zurigo,3
s,2
paolo,2
inghilterra,2
goiã,2
austria,2
alto,2
alpi,2
adige,2
washington,1
vaud,1
tirolo,1
tel,1
sudeste,1
slovenia,1
settentrionale,1
savoia,1
roraima,1
romania,1
rodano,1
rio,1
pest,1
occidentale,1
norte,1
neuchã,1
monaco,1
malta,1
lussemburgo,1
istria,1
illinois,1
grande,1
do,1
cuba,1
costa,1
colombia,1
azzurra,1
alvernia,1
